Название,Метро,Удаленность,Телефон,Сайт,Рейтинг,Парикмахерский зал (женский),Парикмахерский зал (мужской),Ногтевой сервис (женский),Ногтевой сервис (мужской),Ресницы,Шугаринг,Лазерная эпиляция,Элетроэпиляция,Брови,Визажист,Косметология,Перманентный макияж,Массаж,Солярий
Персона,Кузнецкий мост,1 минута,7 (499) 490-71-72,persona-city.ru/lubyanka,4.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sахар,Кузнецкий мост,7 минут,7 (495) 724-38-51,салонсахар.рф,4.5,0,0,0,0,1,1,1,1,1,1,0,1,1,1
Beauty Lab Store,Кузнецкий мост,2 минуты,"7 (926) 100-33-38,",beautylabstore.ru,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Celebrity,Кузнецкий мост,1 минута,7 (495) 721-88-35,saloncelebrity.ru,4.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Next Generation Beauty,Кузнецкий мост,1 минута,7 (905) 787-22-27,vk.com/nextgenerationbeauty,4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Салон красоты Goar Avetisyan,Кузнецкий мост,4 минуты,7 (926) 043-59-99,goarbeauty.com,4.3,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Имидж-лаборатория Никольская Club,Кузнецкий мост,3 минуты,7 (963) 722-00-66,nikolskayaclub.ru,4.7,1,1,1,1,1,0,0,0,1,1,1,1,1,0
НоготОК,Кузнецкий мост,5 минут,7 (968) 949-18-18,nogotok-studio.ru,4.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dry&Go,Кузнецкий мост,5 минут,7 (968) 949-18-18,drygo.ru/stylings_bar/lubyanka,4.5,1,1,0,0,1,1,1,1,1,1,1,1,0,0
,Киевская,,,,,,,,,,,,,,,,,,
,Киевская,,,,,,,,,,,,,,,,,,
,Киевская,,,,,,,,,,,,,,,,,,
,Киевская,,,,,,,,,,,,,,,,,,
,Киевская,,,,,,,,,,,,,,,,,,
,Киевская,,,,,,,,,,,,,,,,,,
,Киевская,,,,,,,,,,,,,,,,,,
,Таганская,,,,,,,,,,,,,,,,,,
,Таганская,,,,,,,,,,,,,,,,,,
