Название,Метро,Удаленность,Телефон,Сайт,Рейтинг,Парикмахерский зал (женский),Парикмахерский зал (мужской),Ногтевой сервис (женский),Ногтевой сервис (мужской),Ресницы,Шугаринг,Лазерная эпиляция,Элетроэпиляция,Брови,Визажист,Косметология,Перманентный макияж,Массаж,Солярий
Juvi Clinic,Арбатская,6 минут,7 (925) 446-64-46,https://juviclinic.ru/,5,0,0,0,0,0,0,1,1,0,0,1,1,0,1
12Studio,Арбатская,7 минут,7 (926) 758-00-12,https://12studio-arbat.ru/,4.6,1,1,1,1,1,0,0,0,1,1,1,1,1,1
Лето,Арбатская,7 минут,7 (495) 215-18-80,https://l-e-t-o.ru/,4.9,1,1,1,1,1,0,0,0,1,1,0,1,0,1
Вай Тай ,Арбатская,5 минут,7 (495) 565-32-95,https://waithaispa.ru/,5,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Aldo Coppola,Арбатская,8 минут ,7 (905) 591-97-52,https://aldocoppola.ru/,4.4,1,1,1,1,1,1,1,0,1,1,1,1,0,0
Вау! Nails,Арбатская,3 минуты,7 (906) 037-03-88,https://yclients.com/salon/vau-nail/117287/#tab=price,4.8,1,1,1,1,1,1,0,0,1,1,0,0,0,0
Teddy Nails,Арбатская,3 минуты,7 (915) 220-42-32,https://widget.sonline.su/ru/services/?placeid=998611833,4.9,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Юstyle,Арбатская,3 минуты,7 (906) 037-03-88,https://yandex.ru/maps/org/yustyle/109990972743/?ll=37.597664%2C55.752538&z=15,3.3,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Белая студия ,Арбатская,3 минуты,79998894919,https://belaya.studio/,4.7,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Сity Nails,Александровский сад,7 минут,7(499) 686-18-66,https://citynails.studio/,4.6,1,1,1,1,1,1,0,0,1,1,1,1,1,0
7 Красок,Александровский сад,6 минут,7 (495) 120-71-77,https://7kpacok.ru/,4.7,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Bless My Nails,Александровский сад,6 минут,7 (995) 117 77 30,https://www.blessmynails.ru/,4.9,1,1,1,1,1,0,0,0,1,1,1,1,0,0
Juvi Clinic,Александровский сад,6 минут,7 (925) 446-64-46,https://juviclinic.ru/,5,0,0,0,0,0,0,1,1,0,0,1,1,0,1
12Studio,Александровский сад,7 минут,7 (926) 758-00-12,https://12studio-arbat.ru/,4.6,1,1,1,1,1,0,0,0,1,1,1,1,1,1
Лето,Александровский сад,7 минут,7 (495) 215-18-80,https://l-e-t-o.ru/,4.9,1,1,1,1,1,0,0,0,1,1,0,1,0,1
Вай Тай ,Александровский сад,5 минут,7 (495) 565-32-95,https://waithaispa.ru/,5,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Aldo Coppola,Александровский сад,8 минут ,7 (905) 591-97-52,https://aldocoppola.ru/,4.4,1,1,1,1,1,1,1,0,1,1,1,1,0,0
Вау! Nails,Александровский сад,3 минуты,7 (906) 037-03-88,https://yclients.com/salon/vau-nail/117287/#tab=price,4.8,1,1,1,1,1,1,0,0,1,1,0,0,0,0
Teddy Nails,Александровский сад,3 минуты,7 (915) 220-42-32,https://widget.sonline.su/ru/services/?placeid=998611833,4.9,1,1,1,1,1,0,0,0,0,1,0,0,0,0
